Locality,Homi,Cerc, Ceta,Sire,Ursi,Hyan,Perc,Feli,Vive,Phoc,Gomp,Elep,Equi,Rhin,Suid ,Anth,Hippo,Gira,Redu,Bovi,Anti,Hipp,Alce
T,0,1,5,95,2,1,2,0,1,0,0,1,4,0,3,27,0,3,0,1,0,0,0
U1,1,17,3,64,6,23,7,28,1,1,8,16,196,16,137,479,109,102,15,65,115,10,15
U2,1,2,9,2,0,1,1,2,0,2,0,0,10,0,31,10,5,1,0,2,7,0,0
V,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,11,36,1,0,0,0,0,0
