"","Taxa","Locality","Count","Rank","Unit","abndance","taxa"
"74",".Rhinocerotidae","P11.U1",0,2,"U1",0.166666666666667,"Rhin"
"75",".Primate","P11.U1",1,3,"U1",0.25,"Prim"
"76",".Sirenia","P11.U1",1,4,"U1",0.333333333333333,"Sire"
"77",".Hippopotamidae","P11.U1",1,5,"U1",0.416666666666667,"Hipp"
"78",".Giraffidae","P11.U1",5,6,"U1",0.5,"Gira"
"79",".Carnivors","P11.U1",6,7,"U1",0.583333333333333,"Carn"
"80",".Equidae","P11.U1",6,8,"U1",0.666666666666667,"Equi"
"81",".Suidae","P11.U1",6,9,"U1",0.75,"Suid"
"82",".Proboscidea","P11.U1",8,10,"U1",0.833333333333333,"Prob"
"83",".Anthracotheriidae","P11.U1",14,11,"U1",0.916666666666667,"Anth"
"84",".Bovidae","P11.U1",51,12,"U1",1,"Bovi"
"85",".Primate","P115.T",0,1,"T",0.0833333333333333,"Prim"
"86",".Cetacea","P115.T",0,2,"T",0.166666666666667,"Ceta"
"87",".Carnivors","P115.T",0,3,"T",0.25,"Carn"
"88",".Proboscidea","P115.T",0,4,"T",0.333333333333333,"Prob"
"89",".Equidae","P115.T",0,5,"T",0.416666666666667,"Equi"
"90",".Rhinocerotidae","P115.T",0,6,"T",0.5,"Rhin"
"91",".Suidae","P115.T",0,7,"T",0.583333333333333,"Suid"
"92",".Anthracotheriidae","P115.T",0,8,"T",0.666666666666667,"Anth"
"93",".Hippopotamidae","P115.T",0,9,"T",0.75,"Hipp"
"94",".Giraffidae","P115.T",0,10,"T",0.833333333333333,"Gira"
"95",".Bovidae","P115.T",0,11,"T",0.916666666666667,"Bovi"
"96",".Sirenia","P115.T",22,12,"T",1,"Sire"
"97",".Cetacea","P115.U1",0,1,"U1",0.0833333333333333,"Ceta"
"98",".Sirenia","P115.U1",0,2,"U1",0.166666666666667,"Sire"
"99",".Proboscidea","P115.U1",0,3,"U1",0.25,"Prob"
"100",".Rhinocerotidae","P115.U1",0,4,"U1",0.333333333333333,"Rhin"
"101",".Hippopotamidae","P115.U1",0,5,"U1",0.416666666666667,"Hipp"
"102",".Giraffidae","P115.U1",0,6,"U1",0.5,"Gira"
"103",".Primate","P115.U1",1,7,"U1",0.583333333333333,"Prim"
"104",".Suidae","P115.U1",1,8,"U1",0.666666666666667,"Suid"
"105",".Carnivors","P115.U1",2,9,"U1",0.75,"Carn"
"106",".Equidae","P115.U1",2,10,"U1",0.833333333333333,"Equi"
"107",".Anthracotheriidae","P115.U1",8,11,"U1",0.916666666666667,"Anth"
"108",".Bovidae","P115.U1",13,12,"U1",1,"Bovi"
"109",".Primate","P14.U1",0,1,"U1",0.0833333333333333,"Prim"
"110",".Cetacea","P14.U1",0,2,"U1",0.166666666666667,"Ceta"
"111",".Sirenia","P14.U1",0,3,"U1",0.25,"Sire"
"112",".Rhinocerotidae","P14.U1",0,4,"U1",0.333333333333333,"Rhin"
"113",".Suidae","P14.U1",0,5,"U1",0.416666666666667,"Suid"
"114",".Hippopotamidae","P14.U1",0,6,"U1",0.5,"Hipp"
"115",".Giraffidae","P14.U1",0,7,"U1",0.583333333333333,"Gira"
"116",".Proboscidea","P14.U1",1,8,"U1",0.666666666666667,"Prob"
"117",".Equidae","P14.U1",1,9,"U1",0.75,"Equi"
"118",".Carnivors","P14.U1",3,10,"U1",0.833333333333333,"Carn"
"119",".Anthracotheriidae","P14.U1",5,11,"U1",0.916666666666667,"Anth"
"120",".Bovidae","P14.U1",20,12,"U1",1,"Bovi"
"121",".Rhinocerotidae","P15.T",0,1,"T",0.0833333333333333,"Rhin"
"122",".Suidae","P15.T",0,2,"T",0.166666666666667,"Suid"
"123",".Hippopotamidae","P15.T",0,3,"T",0.25,"Hipp"
"124",".Primate","P15.T",1,4,"T",0.333333333333333,"Prim"
"125",".Cetacea","P15.T",1,5,"T",0.416666666666667,"Ceta"
"126",".Giraffidae","P15.T",1,6,"T",0.5,"Gira"
"127",".Equidae","P15.T",2,7,"T",0.583333333333333,"Equi"
"128",".Carnivors","P15.T",3,8,"T",0.666666666666667,"Carn"
"129",".Proboscidea","P15.T",4,9,"T",0.75,"Prob"
"130",".Bovidae","P15.T",5,10,"T",0.833333333333333,"Bovi"
"131",".Anthracotheriidae","P15.T",21,11,"T",0.916666666666667,"Anth"
"132",".Sirenia","P15.T",45,12,"T",1,"Sire"
"133",".Cetacea","P16.U1",0,1,"U1",0.0833333333333333,"Ceta"
"134",".Sirenia","P16.U1",0,2,"U1",0.166666666666667,"Sire"
"135",".Rhinocerotidae","P16.U1",0,3,"U1",0.25,"Rhin"
"136",".Giraffidae","P16.U1",2,4,"U1",0.333333333333333,"Gira"
"137",".Primate","P16.U1",4,5,"U1",0.416666666666667,"Prim"
"138",".Hippopotamidae","P16.U1",5,6,"U1",0.5,"Hipp"
"139",".Carnivors","P16.U1",12,7,"U1",0.583333333333333,"Carn"
"140",".Proboscidea","P16.U1",13,8,"U1",0.666666666666667,"Prob"
"141",".Suidae","P16.U1",26,9,"U1",0.75,"Suid"
"142",".Equidae","P16.U1",30,10,"U1",0.833333333333333,"Equi"
"143",".Anthracotheriidae","P16.U1",50,11,"U1",0.916666666666667,"Anth"
"144",".Bovidae","P16.U1",63,12,"U1",1,"Bovi"
"145",".Cetacea","P17.U1",0,1,"U1",0.0833333333333333,"Ceta"
"146",".Sirenia","P17.U1",0,2,"U1",0.166666666666667,"Sire"
"147",".Rhinocerotidae","P17.U1",0,3,"U1",0.25,"Rhin"
"148",".Primate","P17.U1",1,4,"U1",0.333333333333333,"Prim"
"149",".Suidae","P17.U1",1,5,"U1",0.416666666666667,"Suid"
"150",".Carnivors","P17.U1",2,6,"U1",0.5,"Carn"
"151",".Giraffidae","P17.U1",2,7,"U1",0.583333333333333,"Gira"
"152",".Proboscidea","P17.U1",3,8,"U1",0.666666666666667,"Prob"
"153",".Hippopotamidae","P17.U1",3,9,"U1",0.75,"Hipp"
"154",".Equidae","P17.U1",8,10,"U1",0.833333333333333,"Equi"
"155",".Anthracotheriidae","P17.U1",17,11,"U1",0.916666666666667,"Anth"
"156",".Bovidae","P17.U1",27,12,"U1",1,"Bovi"
"157",".Cetacea","P21.U1",0,1,"U1",0.0833333333333333,"Ceta"
"158",".Sirenia","P21.U1",0,2,"U1",0.166666666666667,"Sire"
"159",".Carnivors","P21.U1",0,3,"U1",0.25,"Carn"
"160",".Equidae","P21.U1",0,4,"U1",0.333333333333333,"Equi"
"161",".Rhinocerotidae","P21.U1",0,5,"U1",0.416666666666667,"Rhin"
"162",".Suidae","P21.U1",0,6,"U1",0.5,"Suid"
"163",".Hippopotamidae","P21.U1",0,7,"U1",0.583333333333333,"Hipp"
"164",".Giraffidae","P21.U1",0,8,"U1",0.666666666666667,"Gira"
"165",".Primate","P21.U1",1,9,"U1",0.75,"Prim"
"166",".Proboscidea","P21.U1",2,10,"U1",0.833333333333333,"Prob"
"167",".Anthracotheriidae","P21.U1",3,11,"U1",0.916666666666667,"Anth"
"168",".Bovidae","P21.U1",8,12,"U1",1,"Bovi"
"169",".Primate","P23.U1",0,1,"U1",0.0833333333333333,"Prim"
"170",".Cetacea","P23.U1",0,2,"U1",0.166666666666667,"Ceta"
"171",".Sirenia","P23.U1",0,3,"U1",0.25,"Sire"
"172",".Carnivors","P23.U1",0,4,"U1",0.333333333333333,"Carn"
"173",".Rhinocerotidae","P23.U1",0,5,"U1",0.416666666666667,"Rhin"
"174",".Suidae","P23.U1",0,6,"U1",0.5,"Suid"
"175",".Hippopotamidae","P23.U1",0,7,"U1",0.583333333333333,"Hipp"
"176",".Giraffidae","P23.U1",0,8,"U1",0.666666666666667,"Gira"
"177",".Equidae","P23.U1",1,9,"U1",0.75,"Equi"
"178",".Proboscidea","P23.U1",3,10,"U1",0.833333333333333,"Prob"
"179",".Bovidae","P23.U1",3,11,"U1",0.916666666666667,"Bovi"
"180",".Anthracotheriidae","P23.U1",5,12,"U1",1,"Anth"
"181",".Primate","P24.U1",0,1,"U1",0.0833333333333333,"Prim"
"182",".Cetacea","P24.U1",0,2,"U1",0.166666666666667,"Ceta"
"183",".Sirenia","P24.U1",0,3,"U1",0.25,"Sire"
"184",".Rhinocerotidae","P24.U1",0,4,"U1",0.333333333333333,"Rhin"
"185",".Giraffidae","P24.U1",0,5,"U1",0.416666666666667,"Gira"
"186",".Proboscidea","P24.U1",1,6,"U1",0.5,"Prob"
"187",".Carnivors","P24.U1",2,7,"U1",0.583333333333333,"Carn"
"188",".Suidae","P24.U1",2,8,"U1",0.666666666666667,"Suid"
"189",".Hippopotamidae","P24.U1",6,9,"U1",0.75,"Hipp"
"190",".Anthracotheriidae","P24.U1",9,10,"U1",0.833333333333333,"Anth"
"191",".Equidae","P24.U1",12,11,"U1",0.916666666666667,"Equi"
"192",".Bovidae","P24.U1",21,12,"U1",1,"Bovi"
"193",".Cetacea","P25.U1",0,1,"U1",0.0833333333333333,"Ceta"
"194",".Primate","P25.U1",1,2,"U1",0.166666666666667,"Prim"
"195",".Sirenia","P25.U1",1,3,"U1",0.25,"Sire"
"196",".Rhinocerotidae","P25.U1",1,4,"U1",0.333333333333333,"Rhin"
"197",".Proboscidea","P25.U1",3,5,"U1",0.416666666666667,"Prob"
"198",".Giraffidae","P25.U1",4,6,"U1",0.5,"Gira"
"199",".Carnivors","P25.U1",9,7,"U1",0.583333333333333,"Carn"
"200",".Hippopotamidae","P25.U1",9,8,"U1",0.666666666666667,"Hipp"
"201",".Suidae","P25.U1",10,9,"U1",0.75,"Suid"
"202",".Equidae","P25.U1",20,10,"U1",0.833333333333333,"Equi"
"203",".Anthracotheriidae","P25.U1",40,11,"U1",0.916666666666667,"Anth"
"204",".Bovidae","P25.U1",55,12,"U1",1,"Bovi"
"205",".Primate","P26.U1",0,1,"U1",0.0833333333333333,"Prim"
"206",".Cetacea","P26.U1",0,2,"U1",0.166666666666667,"Ceta"
"207",".Sirenia","P26.U1",0,3,"U1",0.25,"Sire"
"208",".Carnivors","P26.U1",0,4,"U1",0.333333333333333,"Carn"
"209",".Hippopotamidae","P26.U1",0,5,"U1",0.416666666666667,"Hipp"
"210",".Giraffidae","P26.U1",0,6,"U1",0.5,"Gira"
"211",".Rhinocerotidae","P26.U1",1,7,"U1",0.583333333333333,"Rhin"
"212",".Anthracotheriidae","P26.U1",1,8,"U1",0.666666666666667,"Anth"
